2017:ecg,ERROR
2017:hou,ERROR
2017:nyg,ERROR
2017:det,ERROR
2017:oor,ERROR
2017:ely,ERROR
2017:sen,ERROR
2017:cti,ERROR
2017:wbu,ERROR
2017:mnn,ERROR
2017:hrt,ERROR
2017:uti,ERROR
2017:lac,ERROR
2017:den,ERROR
2017:ken,ERROR
2017:sis,ERROR
2017:dtm,ERROR
2017:cli,ERROR
2017:cst,ERROR
2017:mil,ERROR
2017:mut,ERROR
2017:car,ERROR
2017:chl,ERROR
2017:gar,ERROR
2017:cra,ERROR
2017:tb,ERROR
2017:stg,ERROR
2017:dal,ERROR
2017:stp,ERROR
2017:chb,ERROR
2017:bcl,ERROR
2017:kc,ERROR
2017:rac,ERROR
2017:atn,ERROR
2017:atl,ERROR
2017:pul,ERROR
2017:wsh,ERROR
2017:bda,ERROR
2017:naa,ERROR
2017:ham,ERROR
2017:bba,ERROR
2017:col,ERROR
2017:cin,ERROR
2017:ric,ERROR
2017:bkn,ERROR
2017:nyy,ERROR
2017:mck,ERROR
2017:no,ERROR
2017:red,ERROR
2017:cnc,ERROR
2017:gb,ERROR
2017:min,ERROR
2017:sla,ERROR
2017:tlm,ERROR
2017:lou,ERROR
2017:lar,ERROR
2017:whe,ERROR
2017:dtx,ERROR
2017:nya,ERROR
2017:buf,ERROR
2017:wja,ERROR
2017:ng1,ERROR
2017:rch,ERROR
2017:mnm,ERROR
2017:phi,ERROR
2017:bff,ERROR
2017:bal,ERROR
2017:rii,ERROR
2017:sea,ERROR
2017:brl,ERROR
2017:oak,ERROR
2017:cib,ERROR
2017:mia,ERROR
2017:kew,ERROR
2017:ten,ERROR
2017:lab,ERROR
2017:tor,ERROR
2017:ptb,ERROR
2017:syr,ERROR
2017:ftp,ERROR
2017:ne,ERROR
2017:chi,ERROR
2017:rck,ERROR
2017:lan,ERROR
2017:prv,ERROR
2017:byk,ERROR
2017:zan,ERROR
2017:cht,ERROR
2017:cle,ERROR
2017:crp,ERROR
2017:ind,ERROR
2017:wgc,ERROR
2017:kcb,ERROR
2017:dhr,ERROR
2017:cbd,ERROR
2017:ari,ERROR
